country,year,Total,Onshore,PV,Offshore,Biomass,Rest
DE,2000,0.01,0.002,0.002,0.002,0.002,0.002
DE,2020,0.43,0.168,0.083,0.055,0.076,0.045
DE,2021,0.431,0.168,0.083,0.055,0.076,0.045
DE,2025,0.51,NA,NA,NA,NA,NA
DE,2030,0.65,0.245689655,0.155172414,0.140517241,0.072413793,0.036206897
DE,2050,0.99,0.36,0.27,0.22,0.09,0.05
NL,2000,0.01,0.002,0.002,0.002,0.002,0.002
NL,2020,0.37,0.041,0.0514,0.146,0.116,0.0156
NL,2030,0.7,0.117287234,0.143351064,0.364893617,NA,0.074468085
NL,2050,0.99,0.2,0.19,0.4,0.12,0.08
FR,2028,NA,NA,NA,NA,NA,NA
FR,2030,0.4,NA,NA,NA,NA,NA
BE,2030,NA,NA,NA,NA,NA,NA
LU,2030,NA,NA,NA,NA,NA,NA
