country,year,Total,Onshore,PV,Offshore,Biomass,Rest
DE,2000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
DE,2019,518.47379,0.00000,0.00000,0.00000,0.00000,0.00000
DE,2020,524.06708,88.04327,43.49757,28.82369,39.82910,23.58302
DE,2021,529.66037,88.98294,43.96181,29.13132,40.25419,23.83472
DE,2025,552.03354,0.00000,0.00000,0.00000,0.00000,0.00000
DE,2030,580.00000,142.50000,90.00000,81.50000,42.00000,21.00000
DE,2060,650.00000,0.00000,0.00000,0.00000,0.00000,0.00000
NL,2000,77.23521,0.00000,0.00000,0.00000,0.00000,0.00000
NL,2019,113.36720,0.00000,0.00000,0.00000,0.00000,0.00000
NL,2020,115.26888,4.72602,5.92482,16.82926,13.37119,1.79819
NL,2030,134.28571,15.75000,19.25000,49.00000,0.00000,10.00000
NL,2050,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
FR,2019,445.73664,0.00000,0.00000,0.00000,0.00000,0.00000
FR,2028,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
FR,2030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
BE,2019,83.07900,0.00000,0.00000,0.00000,0.00000,0.00000
BE,2030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
LU,2019,6.36524,0.00000,0.00000,0.00000,0.00000,0.00000
LU,2030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
,,,,,,,
